,index,VariableName,VarLabel,Notes,Code,Value
180,2124,hcred12grps,Bank and nonbank credit product use,"Excludes households with missing information on whether the household used one or more bank credit products (i.e., a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank), used nonbank credit (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan), applied for a bank credit product, was denied a bank credit product or not given as much credit as requested, did not apply for a bank credit product because of concerns about being turned down, or fell behind on bills. Households may have used credit products that were not asked about in the 2015 and 2019 surveys (e.g., mortgages, auto loans, certain nonbank installment loans, and informal loans from family or friends).",2.0,Bank and nonbank credit
181,2125,hcred12grps,Bank and nonbank credit product use,"Excludes households with missing information on whether the household used one or more bank credit products (i.e., a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank), used nonbank credit (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan), applied for a bank credit product, was denied a bank credit product or not given as much credit as requested, did not apply for a bank credit product because of concerns about being turned down, or fell behind on bills. Households may have used credit products that were not asked about in the 2015 and 2019 surveys (e.g., mortgages, auto loans, certain nonbank installment loans, and informal loans from family or friends).",3.0,Nonbank credit only
182,2126,hcred12grps,Bank and nonbank credit product use,"Excludes households with missing information on whether the household used one or more bank credit products (i.e., a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank), used nonbank credit (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan), applied for a bank credit product, was denied a bank credit product or not given as much credit as requested, did not apply for a bank credit product because of concerns about being turned down, or fell behind on bills. Households may have used credit products that were not asked about in the 2015 and 2019 surveys (e.g., mortgages, auto loans, certain nonbank installment loans, and informal loans from family or friends).",4.0,No credit
183,2127,hcred12grps,Bank and nonbank credit product use,All households,-1.0,NIU
184,2128,hsav12,Saved for unexpected expenses or emergencies in past 12 months,Excludes households with missing information on whether the household saved for unexpected expenses or emergencies.,1.0,Yes
185,2129,hsav12,Saved for unexpected expenses or emergencies in past 12 months,Excludes households with missing information on whether the household saved for unexpected expenses or emergencies.,2.0,No
186,2130,hsav12,Saved for unexpected expenses or emergencies in past 12 months,All households,-1.0,NIU
187,2162,hincvol,Monthly income volatility,Excludes households with missing information on monthly income volatility.,1.0,Income was about the same each month
188,2163,hincvol,Monthly income volatility,Excludes households with missing information on monthly income volatility.,2.0,Income varied somewhat from month to month
189,2164,hincvol,Monthly income volatility,Excludes households with missing information on monthly income volatility.,3.0,Income varied a lot from month to month
190,2165,hincvol,Monthly income volatility,Excludes households with missing information on monthly income volatility.,99.0,Unknown
191,2166,hincvolv2,Monthly income volatility (less detail),Excludes households with missing information on monthly income volatility.,1.0,Income was about the same each month
192,2167,hincvolv2,Monthly income volatility (less detail),Excludes households with missing information on monthly income volatility.,2.0,Income varied somewhat or a lot from month to month
193,2168,hincvolv2,Monthly income volatility (less detail),Excludes households with missing information on monthly income volatility.,99.0,Unknown
194,2182,hintaccv2,Home internet access,Excludes households with missing information on home internet access.,1.0,Has access
195,2183,hintaccv2,Home internet access,Excludes households with missing information on home internet access.,2.0,Does not have access
196,2184,hintaccv2,Home internet access,Excludes households with missing information on home internet access.,99.0,Unknown
197,2185,huse12AFST,Used nonbank transaction product in past 12 months,"Excludes households with not enough information to characterize nonbank transaction product use. Nonbank transaction product use is based on the following: check cashing, money order, and remittance.",1.0,Yes
198,2186,huse12AFST,Used nonbank transaction product in past 12 months,"Excludes households with not enough information to characterize nonbank transaction product use. Nonbank transaction product use is based on the following: check cashing, money order, and remittance.",2.0,No
199,2187,huse12AFST,Used nonbank transaction product in past 12 months,"Excludes households with not enough information to characterize nonbank transaction product use. Nonbank transaction product use is based on the following: check cashing, money order, and remittance.",99.0,Unknown
200,2188,huse12AFSC,Used nonbank credit product in past 12 months,"Excludes households with not enough information to characterize nonbank credit product use. Nonbank credit product use is based on the following: payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",1.0,Yes
201,2189,huse12AFSC,Used nonbank credit product in past 12 months,"Excludes households with not enough information to characterize nonbank credit product use. Nonbank credit product use is based on the following: payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",2.0,No
202,2190,huse12AFSC,Used nonbank credit product in past 12 months,"Excludes households with not enough information to characterize nonbank credit product use. Nonbank credit product use is based on the following: payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",99.0,Unknown
203,2191,huse12AFS,Used nonbank transaction or credit product in past 12 months,"Excludes households with not enough information to characterize nonbank transaction and credit product use. Nonbank transaction and credit product use is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",1.0,Yes
204,2192,huse12AFS,Used nonbank transaction or credit product in past 12 months,"Excludes households with not enough information to characterize nonbank transaction and credit product use. Nonbank transaction and credit product use is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",2.0,No
205,2193,huse12AFS,Used nonbank transaction or credit product in past 12 months,"Excludes households with not enough information to characterize nonbank transaction and credit product use. Nonbank transaction and credit product use is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",99.0,Unknown
206,2194,huse12afsnbr,Number of nonbank transaction and credit products used,"Excludes households with not enough information to characterize number of nonbank transaction and credit products used. Number of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",0.0,Did not use
207,2195,huse12afsnbr,Number of nonbank transaction and credit products used,"Excludes households with not enough information to characterize number of nonbank transaction and credit products used. Number of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",1.0,Used 1
208,2196,huse12afsnbr,Number of nonbank transaction and credit products used,"Excludes households with not enough information to characterize number of nonbank transaction and credit products used. Number of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",2.0,Used 2
209,2197,huse12afsnbr,Number of nonbank transaction and credit products used,"Excludes households with not enough information to characterize number of nonbank transaction and credit products used. Number of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",3.0,Used 3 or more
210,2198,huse12afsnbr,Number of nonbank transaction and credit products used,"Excludes households with not enough information to characterize number of nonbank transaction and credit products used. Number of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",99.0,Unknown
211,2199,huse12afstype,Type of nonbank transaction and credit products used in past 12 months,"Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",1.0,Nonbank transaction only
212,2200,huse12afstype,Type of nonbank transaction and credit products used in past 12 months,"Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",2.0,Nonbank transaction and credit
213,2201,huse12afstype,Type of nonbank transaction and credit products used in past 12 months,"Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",3.0,Nonbank credit only
214,2202,huse12afstype,Type of nonbank transaction and credit products used in past 12 months,"Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",4.0,Did not use
215,2203,huse12afstype,Type of nonbank transaction and credit products used in past 12 months,"Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",98.0,"Nonbank products used, type unknown"
216,2204,huse12afstype,Type of nonbank transaction and credit products used in past 12 months,"Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, and auto title loan.",99.0,Use unknown
217,2209,hinucred,"In universe, bank credit","Excludes households with missing information on whether the household used one or more mainstream credit products; used nonbank credit (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan); applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank; was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank (or not given as much credit as requested); did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down; or fell behind on bills. Mainstream credit products asked about in the 2015 and 2019 surveys include Visa, MasterCard, American Express, or Discover credit cards and personal loans or lines of credit from banks. Additional mainstream credit products asked about in the 2017 survey include store credit cards; auto loans; mortgages, home equity loans, and home equity lines of credit; student loans; and other personal loans or lines of credit from companies other than banks.",1.0,Yes
218,2210,hinucred,"In universe, bank credit","Excludes households with missing information on whether the household used one or more mainstream credit products; used nonbank credit (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan); applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank; was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank (or not given as much credit as requested); did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down; or fell behind on bills. Mainstream credit products asked about in the 2015 and 2019 surveys include Visa, MasterCard, American Express, or Discover credit cards and personal loans or lines of credit from banks. Additional mainstream credit products asked about in the 2017 survey include store credit cards; auto loans; mortgages, home equity loans, and home equity lines of credit; student loans; and other personal loans or lines of credit from companies other than banks.",2.0,No
219,2211,hinunbcred,"In universe, nonbank credit","Excludes households with missing information on whether the household used one or more mainstream credit products; used one or more nonbank credit products (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan); applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank; was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank (or not given as much credit as requested); did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down; or fell behind on bills. Mainstream credit products asked about in the 2015 and 2019 surveys include Visa, MasterCard, American Express, or Discover credit cards and personal loans or lines of credit from banks. Additional mainstream credit products asked about in the 2017 survey include store credit cards; auto loans; mortgages, home equity loans, and home equity lines of credit; student loans; and other personal loans or lines of credit from companies other than banks.",1.0,Yes
220,2212,hinunbcred,"In universe, nonbank credit","Excludes households with missing information on whether the household used one or more mainstream credit products; used one or more nonbank credit products (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan); applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank; was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank (or not given as much credit as requested); did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down; or fell behind on bills. Mainstream credit products asked about in the 2015 and 2019 surveys include Visa, MasterCard, American Express, or Discover credit cards and personal loans or lines of credit from banks. Additional mainstream credit products asked about in the 2017 survey include store credit cards; auto loans; mortgages, home equity loans, and home equity lines of credit; student loans; and other personal loans or lines of credit from companies other than banks.",2.0,No
221,2217,hbnkbrgo,Visited bank branch in past 12 months,Excludes households with missing information on whether the household visited a bank branch.,1.0,Yes
222,2218,hbnkbrgo,Visited bank branch in past 12 months,Excludes households with missing information on whether the household visited a bank branch.,2.0,No
223,2219,hbnkbrgo,Visited bank branch in past 12 months,All households,-1.0,NIU
224,2220,hbnkbrgofq,Number of bank branch visits in past 12 months,Excludes households with missing information on whether the household visited a bank branch.,1.0,1 to 4 times
225,2221,hbnkbrgofq,Number of bank branch visits in past 12 months,Excludes households with missing information on whether the household visited a bank branch.,2.0,5 to 9 times
226,2222,hbnkbrgofq,Number of bank branch visits in past 12 months,Excludes households with missing information on whether the household visited a bank branch.,3.0,10 or more times
227,2223,hbnkbrgofq,Number of bank branch visits in past 12 months,Excludes households with missing information on whether the household visited a bank branch.,4.0,"Visited bank branch, frequency unknown"
228,2224,hbnkbrgofq,Number of bank branch visits in past 12 months,Excludes households with missing information on whether the household visited a bank branch.,5.0,Did not visit bank branch in past 12 months
229,2225,hbnkbrgofq,Number of bank branch visits in past 12 months,All households,-1.0,NIU
230,2226,hbnkbrgofq_c,Number of bank branch visits in past 12 months (conditional on visiting bank branch),,1.0,1 to 4 times
231,2227,hbnkbrgofq_c,Number of bank branch visits in past 12 months (conditional on visiting bank branch),,2.0,5 to 9 times
232,2228,hbnkbrgofq_c,Number of bank branch visits in past 12 months (conditional on visiting bank branch),,3.0,10 or more times
233,2229,hbnkbrgofq_c,Number of bank branch visits in past 12 months (conditional on visiting bank branch),,4.0,Frequency unknown
234,2230,hbnkbrgofq_c,Number of bank branch visits in past 12 months (conditional on visiting bank branch),Households that visited bank branch in past 12 months,-1.0,NIU
235,2435,hcred12int,"Applied for credit card or personal loan or line of credit from bank, did not apply because of concerns about being turned down, or used nonbank credit product in past 12 months","Excludes households with missing information on whether the household used one or more mainstream credit products; used nonbank credit (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan); applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank; was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank (or not given as much credit as requested); did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down; or fell behind on bills. Mainstream credit products asked about in the 2015 and 2019 surveys include Visa, MasterCard, American Express, or Discover credit cards and personal loans or lines of credit from banks. Additional mainstream credit products asked about in the 2017 survey include store credit cards; auto loans; mortgages, home equity loans, and home equity lines of credit; student loans; and other personal loans or lines of credit from companies other than banks.",1.0,Yes
236,2436,hcred12int,"Applied for credit card or personal loan or line of credit from bank, did not apply because of concerns about being turned down, or used nonbank credit product in past 12 months","Excludes households with missing information on whether the household used one or more mainstream credit products; used nonbank credit (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan); applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank; was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank (or not given as much credit as requested); did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down; or fell behind on bills. Mainstream credit products asked about in the 2015 and 2019 surveys include Visa, MasterCard, American Express, or Discover credit cards and personal loans or lines of credit from banks. Additional mainstream credit products asked about in the 2017 survey include store credit cards; auto loans; mortgages, home equity loans, and home equity lines of credit; student loans; and other personal loans or lines of credit from companies other than banks.",2.0,No
237,2437,hcred12int,"Applied for credit card or personal loan or line of credit from bank, did not apply because of concerns about being turned down, or used nonbank credit product in past 12 months",All households,-1.0,NIU
238,2438,hcred12undem,Had unmet demand for mainstream small-dollar credit in past 12 months,"Excludes households with missing information on whether the household used one or more mainstream credit products; used nonbank credit (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan); applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank; was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank (or not given as much credit as requested); did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down; or fell behind on bills. Mainstream credit products asked about in the 2015 and 2019 surveys include Visa, MasterCard, American Express, or Discover credit cards and personal loans or lines of credit from banks. Additional mainstream credit products asked about in the 2017 survey include store credit cards; auto loans; mortgages, home equity loans, and home equity lines of credit; student loans; and other personal loans or lines of credit from companies other than banks. A household is classified as having unmet demand for mainstream small-dollar credit if the household used a nonbank credit product; was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank (or not given as much credit as requested); or did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down.",1.0,Yes
239,2439,hcred12undem,Had unmet demand for mainstream small-dollar credit in past 12 months,"Excludes households with missing information on whether the household used one or more mainstream credit products; used nonbank credit (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan); applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank; was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank (or not given as much credit as requested); did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down; or fell behind on bills. Mainstream credit products asked about in the 2015 and 2019 surveys include Visa, MasterCard, American Express, or Discover credit cards and personal loans or lines of credit from banks. Additional mainstream credit products asked about in the 2017 survey include store credit cards; auto loans; mortgages, home equity loans, and home equity lines of credit; student loans; and other personal loans or lines of credit from companies other than banks. A household is classified as having unmet demand for mainstream small-dollar credit if the household used a nonbank credit product; was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank (or not given as much credit as requested); or did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down.",2.0,No
240,2440,hcred12undem,Had unmet demand for mainstream small-dollar credit in past 12 months,All households,-1.0,NIU
241,2444,gtmetsta,Metropolitan and nonmetropolitan status,,1.0,Metropolitan area
242,2445,gtmetsta,Metropolitan and nonmetropolitan status,,2.0,Not in metropolitan area
243,2446,gtmetsta,Metropolitan and nonmetropolitan status,,3.0,Not identified
244,2450,gtmetsta5yr13,Metropolitan and nonmetropolitan status,Metropolitan and nonmetropolitan status are based on February 2013 MSA delineations.,1.0,Metropolitan area
245,2451,gtmetsta5yr13,Metropolitan and nonmetropolitan status,Metropolitan and nonmetropolitan status are based on February 2013 MSA delineations.,2.0,Not in metropolitan area
246,2452,gtmetsta5yr13,Metropolitan and nonmetropolitan status,Metropolitan and nonmetropolitan status are based on February 2013 MSA delineations.,3.0,Not identified
247,2453,hbnkprevv2,Previously banked,Excludes households with missing information on previous bank account ownership.,1.0,Once had bank account
248,2454,hbnkprevv2,Previously banked,Excludes households with missing information on previous bank account ownership.,2.0,Never had bank account
249,2455,hbnkprevv2,Previously banked,Unbanked households,-1.0,NIU
250,2461,hbnkprevlyv2,Previously banked (within last year),Excludes households with missing information on previous bank account ownership.,1.0,Had bank account within last year
251,2462,hbnkprevlyv2,Previously banked (within last year),Excludes households with missing information on previous bank account ownership.,2.0,Had bank account more than 1 year ago
252,2463,hbnkprevlyv2,Previously banked (within last year),Excludes households with missing information on previous bank account ownership.,3.0,Never had bank account
253,2464,hbnkprevlyv2,Previously banked (within last year),Unbanked households,-1.0,NIU
254,2465,hbnkprevlyv2,Previously banked (within last year),Excludes households with missing information on previous bank account ownership.,98.0,"Previously banked, recency unknown"
255,2466,hbnkprevlyv3,Previously banked (within last year),Excludes households with missing information on previous or recent bank account ownership.,1.0,Had bank account within last year
256,2467,hbnkprevlyv3,Previously banked (within last year),Excludes households with missing information on previous or recent bank account ownership.,2.0,Had bank account more than 1 year ago
257,2468,hbnkprevlyv3,Previously banked (within last year),Excludes households with missing information on previous or recent bank account ownership.,3.0,Never had bank account
258,2469,hbnkprevlyv3,Previously banked (within last year),Unbanked households,-1.0,NIU
259,2470,praceeth3,Race/Ethnicity,Race/Ethnicity: A household is classified as Hispanic if the householder identifies as Hispanic or Latino regardless of race. A household is classified as Black if the householder identifies as Black or African American alone and not Hispanic or Latino. A household is classified as Asian if the householder identifies as Asian alone and not Hispanic or Latino. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native alone and not Hispanic or Latino. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander alone and not Hispanic or Latino. A household is classified as White if the householder identifies as White alone and not Hispanic or Latino. A household is classified as Two or More Races if the householder identifies as two or more races and not Hispanic or Latino.,1.0,Black
260,2471,praceeth3,Race/Ethnicity,Race/Ethnicity: A household is classified as Hispanic if the householder identifies as Hispanic or Latino regardless of race. A household is classified as Black if the householder identifies as Black or African American alone and not Hispanic or Latino. A household is classified as Asian if the householder identifies as Asian alone and not Hispanic or Latino. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native alone and not Hispanic or Latino. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander alone and not Hispanic or Latino. A household is classified as White if the householder identifies as White alone and not Hispanic or Latino. A household is classified as Two or More Races if the householder identifies as two or more races and not Hispanic or Latino.,2.0,Hispanic
261,2472,praceeth3,Race/Ethnicity,Race/Ethnicity: A household is classified as Hispanic if the householder identifies as Hispanic or Latino regardless of race. A household is classified as Black if the householder identifies as Black or African American alone and not Hispanic or Latino. A household is classified as Asian if the householder identifies as Asian alone and not Hispanic or Latino. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native alone and not Hispanic or Latino. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander alone and not Hispanic or Latino. A household is classified as White if the householder identifies as White alone and not Hispanic or Latino. A household is classified as Two or More Races if the householder identifies as two or more races and not Hispanic or Latino.,3.0,Asian
262,2473,praceeth3,Race/Ethnicity,Race/Ethnicity: A household is classified as Hispanic if the householder identifies as Hispanic or Latino regardless of race. A household is classified as Black if the householder identifies as Black or African American alone and not Hispanic or Latino. A household is classified as Asian if the householder identifies as Asian alone and not Hispanic or Latino. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native alone and not Hispanic or Latino. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander alone and not Hispanic or Latino. A household is classified as White if the householder identifies as White alone and not Hispanic or Latino. A household is classified as Two or More Races if the householder identifies as two or more races and not Hispanic or Latino.,4.0,American Indian or Alaska Native
263,2474,praceeth3,Race/Ethnicity,Race/Ethnicity: A household is classified as Hispanic if the householder identifies as Hispanic or Latino regardless of race. A household is classified as Black if the householder identifies as Black or African American alone and not Hispanic or Latino. A household is classified as Asian if the householder identifies as Asian alone and not Hispanic or Latino. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native alone and not Hispanic or Latino. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander alone and not Hispanic or Latino. A household is classified as White if the householder identifies as White alone and not Hispanic or Latino. A household is classified as Two or More Races if the householder identifies as two or more races and not Hispanic or Latino.,5.0,Native Hawaiian or Other Pacific Islander
264,2475,praceeth3,Race/Ethnicity,Race/Ethnicity: A household is classified as Hispanic if the householder identifies as Hispanic or Latino regardless of race. A household is classified as Black if the householder identifies as Black or African American alone and not Hispanic or Latino. A household is classified as Asian if the householder identifies as Asian alone and not Hispanic or Latino. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native alone and not Hispanic or Latino. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander alone and not Hispanic or Latino. A household is classified as White if the householder identifies as White alone and not Hispanic or Latino. A household is classified as Two or More Races if the householder identifies as two or more races and not Hispanic or Latino.,6.0,White
265,2476,praceeth3,Race/Ethnicity,Race/Ethnicity: A household is classified as Hispanic if the householder identifies as Hispanic or Latino regardless of race. A household is classified as Black if the householder identifies as Black or African American alone and not Hispanic or Latino. A household is classified as Asian if the householder identifies as Asian alone and not Hispanic or Latino. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native alone and not Hispanic or Latino. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander alone and not Hispanic or Latino. A household is classified as White if the householder identifies as White alone and not Hispanic or Latino. A household is classified as Two or More Races if the householder identifies as two or more races and not Hispanic or Latino.,7.0,Two or More Races
266,2477,hinuphoneint,"In universe, mobile phone, smartphone, and home internet access","Excludes households with missing information on mobile phone, smartphone, or home internet access.",1.0,Yes
267,2478,hinuphoneint,"In universe, mobile phone, smartphone, and home internet access","Excludes households with missing information on mobile phone, smartphone, or home internet access.",2.0,No
268,2479,hbnkint,Interest in having bank account,Excludes households with missing information on interest in having a bank account.,1.0,Very interested
269,2480,hbnkint,Interest in having bank account,Excludes households with missing information on interest in having a bank account.,2.0,Somewhat interested
270,2481,hbnkint,Interest in having bank account,Excludes households with missing information on interest in having a bank account.,3.0,Not very interested
271,2482,hbnkint,Interest in having bank account,Excludes households with missing information on interest in having a bank account.,4.0,Not at all interested
272,2483,hbnkint,Interest in having bank account,Unbanked households,-1.0,NIU
273,2484,hunbnkr1v4,Why unbanked: Bank hours are inconvenient,Excludes households with missing information on specified reason for not having a bank account.,1.0,Yes
274,2485,hunbnkr1v4,Why unbanked: Bank hours are inconvenient,Excludes households with missing information on specified reason for not having a bank account.,2.0,No
275,2486,hunbnkr1v4,Why unbanked: Bank hours are inconvenient,Unbanked households,-1.0,NIU
276,2487,hunbnkr2v4,Why unbanked: Bank locations are inconvenient,Excludes households with missing information on specified reason for not having a bank account.,1.0,Yes
277,2488,hunbnkr2v4,Why unbanked: Bank locations are inconvenient,Excludes households with missing information on specified reason for not having a bank account.,2.0,No
278,2489,hunbnkr2v4,Why unbanked: Bank locations are inconvenient,Unbanked households,-1.0,NIU
279,2490,hunbnkr3v4,Why unbanked: Bank account fees are too high,Excludes households with missing information on specified reason for not having a bank account.,1.0,Yes
280,2491,hunbnkr3v4,Why unbanked: Bank account fees are too high,Excludes households with missing information on specified reason for not having a bank account.,2.0,No
281,2492,hunbnkr3v4,Why unbanked: Bank account fees are too high,Unbanked households,-1.0,NIU
282,2493,hunbnkr4v4,Why unbanked: Bank account fees are too unpredictable,Excludes households with missing information on specified reason for not having a bank account.,1.0,Yes
283,2494,hunbnkr4v4,Why unbanked: Bank account fees are too unpredictable,Excludes households with missing information on specified reason for not having a bank account.,2.0,No
284,2495,hunbnkr4v4,Why unbanked: Bank account fees are too unpredictable,Unbanked households,-1.0,NIU
285,2496,hunbnkr5v4,Why unbanked: Banks do not offer needed products and services,Excludes households with missing information on specified reason for not having a bank account.,1.0,Yes
286,2497,hunbnkr5v4,Why unbanked: Banks do not offer needed products and services,Excludes households with missing information on specified reason for not having a bank account.,2.0,No
287,2498,hunbnkr5v4,Why unbanked: Banks do not offer needed products and services,Unbanked households,-1.0,NIU
288,2499,hunbnkr6v4,Why unbanked: Do not trust banks,Excludes households with missing information on specified reason for not having a bank account.,1.0,Yes
289,2500,hunbnkr6v4,Why unbanked: Do not trust banks,Excludes households with missing information on specified reason for not having a bank account.,2.0,No
290,2501,hunbnkr6v4,Why unbanked: Do not trust banks,Unbanked households,-1.0,NIU
291,2502,hunbnkr7v4,Why unbanked: Do not have enough money to meet minimum balance requirements,Excludes households with missing information on specified reason for not having a bank account.,1.0,Yes
292,2503,hunbnkr7v4,Why unbanked: Do not have enough money to meet minimum balance requirements,Excludes households with missing information on specified reason for not having a bank account.,2.0,No
293,2504,hunbnkr7v4,Why unbanked: Do not have enough money to meet minimum balance requirements,Unbanked households,-1.0,NIU
294,2505,hunbnkr8v4,Why unbanked: Avoiding a bank gives more privacy,Excludes households with missing information on specified reason for not having a bank account.,1.0,Yes
295,2506,hunbnkr8v4,Why unbanked: Avoiding a bank gives more privacy,Excludes households with missing information on specified reason for not having a bank account.,2.0,No
296,2507,hunbnkr8v4,Why unbanked: Avoiding a bank gives more privacy,Unbanked households,-1.0,NIU
